Rank,Country,Certainty,Risk,Uncertainty,FinalScore
1,Germany,90.15,88.69,85.00,88.17
2,Sweden,76.48,80.89,89.00,81.56
3,Singapore,75.03,82.22,80.00,78.68
4,Netherlands,74.43,78.86,83.00,78.33
5,Canada,72.32,77.79,82.33,76.97
6,Australia,70.57,75.54,78.33,74.39
7,South Korea,69.35,76.01,76.00,73.34
8,Japan,67.25,75.35,76.67,72.50
9,UK,64.62,70.77,71.67,68.58
10,USA,64.93,69.96,70.00,67.96
